type,name,value,date
湖南,湖南怀化市溆浦县,54.03,2020/2/28
湖南,湖南岳阳市平江县,24.64,2020/2/19
湖南,湖南岳阳市平江县,26.790000000000003,2020/2/20
湖南,湖南岳阳市平江县,31.96,2020/2/21
湖南,湖南岳阳市平江县,37.480000000000004,2020/2/22
湖南,湖南岳阳市平江县,40.52,2020/2/23
湖南,湖南岳阳市平江县,39.71,2020/2/24
湖南,湖南岳阳市平江县,51.62,2020/2/25
湖南,湖南岳阳市平江县,51.42,2020/2/26
湖南,湖南岳阳市平江县,52.04,2020/2/27
湖南,湖南岳阳市平江县,53.81,2020/2/28
福建,福建莆田市秀屿区,25.85,2020/2/19
福建,福建莆田市秀屿区,30.159999999999997,2020/2/20
福建,福建莆田市秀屿区,34.33,2020/2/21
福建,福建莆田市秀屿区,37.84,2020/2/22
福建,福建莆田市秀屿区,42.85,2020/2/23
福建,福建莆田市秀屿区,43.99,2020/2/24
福建,福建莆田市秀屿区,53.16,2020/2/25
福建,福建莆田市秀屿区,53.87,2020/2/26
福建,福建莆田市秀屿区,54.7,2020/2/27
福建,福建莆田市秀屿区,53.76,2020/2/28
广西,广西来宾市兴宾区,24.169999999999998,2020/2/19
广西,广西来宾市兴宾区,30.53,2020/2/20
广西,广西来宾市兴宾区,35.83,2020/2/21
广西,广西来宾市兴宾区,40.48,2020/2/22
广西,广西来宾市兴宾区,42.38,2020/2/23
广西,广西来宾市兴宾区,44.21,2020/2/24
广西,广西来宾市兴宾区,54.2,2020/2/25
广西,广西来宾市兴宾区,55.059999999999995,2020/2/26
广西,广西来宾市兴宾区,54.66,2020/2/27
广西,广西来宾市兴宾区,53.76,2020/2/28
广东,广东揭阳市揭东区,26.58,2020/2/19
广东,广东揭阳市揭东区,31.47,2020/2/20
广东,广东揭阳市揭东区,36.44,2020/2/21
广东,广东揭阳市揭东区,40.28,2020/2/22
广东,广东揭阳市揭东区,43.51,2020/2/23
广东,广东揭阳市揭东区,53.18000000000001,2020/2/24
广东,广东揭阳市揭东区,54.52,2020/2/25
广东,广东揭阳市揭东区,54.55,2020/2/26
广东,广东揭阳市揭东区,54.14,2020/2/27
广东,广东揭阳市揭东区,53.59,2020/2/28
广西,广西北海市合浦县,27.61,2020/2/19
广西,广西北海市合浦县,31.840000000000003,2020/2/20
广西,广西北海市合浦县,35.29,2020/2/21
广西,广西北海市合浦县,38.35,2020/2/22
广西,广西北海市合浦县,41.36,2020/2/23
广西,广西北海市合浦县,39.82,2020/2/24
广西,广西北海市合浦县,52.68000000000001,2020/2/25
广西,广西北海市合浦县,53.55,2020/2/26
